Timestamp,Number of people
2018-07-15T03:35:49.753529Z,20
2018-07-15T03:45:56.879835Z,20
2018-07-15T03:56:07.842286Z,20
2018-07-15T04:06:14.518890Z,20
2018-07-15T04:16:21.033749Z,20
2018-07-15T04:26:28.173721Z,20
2018-07-15T04:36:35.925100Z,20
2018-07-15T04:46:43.058996Z,20
2018-07-15T04:56:53.177280Z,20
2018-07-15T05:07:00.260502Z,20
2018-07-15T05:17:17.445275Z,20
2018-07-15T05:27:24.837786Z,20
2018-07-15T05:37:33.036170Z,20
2018-07-15T05:47:39.479982Z,20
2018-07-15T05:57:50.707717Z,20
2018-07-15T06:07:57.427338Z,20
2018-07-15T06:18:04.271357Z,20
2018-07-15T06:28:13.076727Z,20
2018-07-15T06:38:20.019270Z,20
2018-07-15T06:48:33.289781Z,22
2018-07-15T06:58:43.555868Z,26
2018-07-15T07:08:50.748722Z,27
2018-07-15T07:18:58.360465Z,43
2018-07-15T07:29:05.893770Z,60
2018-07-15T07:39:13.278247Z,69
2018-07-15T07:49:20.571523Z,70
2018-07-15T07:59:31.159040Z,72
2018-07-15T08:09:39.096496Z,75
2018-07-15T08:19:46.192112Z,79
2018-07-15T08:29:53.540202Z,80
2018-07-15T08:40:00.749214Z,78
2018-07-15T08:50:09.778087Z,77
2018-07-15T09:00:21.485944Z,81
2018-07-15T09:10:29.149998Z,86
2018-07-15T09:20:36.572705Z,88
2018-07-15T09:30:44.067202Z,87
2018-07-15T09:40:52.379716Z,78
2018-07-15T09:50:59.448311Z,75
2018-07-15T10:01:12.411668Z,75
2018-07-15T10:11:20.185347Z,91
2018-07-15T10:21:28.096518Z,89
2018-07-15T10:31:39.188745Z,81
2018-07-15T10:41:49.814583Z,90
2018-07-15T10:51:57.062275Z,86
2018-07-15T11:02:05.503670Z,83
2018-07-15T11:12:13.255928Z,66
2018-07-15T11:22:22.711491Z,64
2018-07-15T11:32:31.366548Z,64
2018-07-15T11:42:39.050753Z,64
2018-07-15T11:52:45.985717Z,54
2018-07-15T12:02:56.705527Z,51
2018-07-15T12:13:11.072867Z,50
2018-07-15T12:23:18.536247Z,54
2018-07-15T12:33:26.684615Z,56
2018-07-15T12:43:35.135090Z,57
2018-07-15T12:53:42.403033Z,56
2018-07-15T13:03:53.056721Z,61
2018-07-15T13:14:00.636694Z,57
2018-07-15T13:24:08.566814Z,57
2018-07-15T13:34:17.041573Z,54
2018-07-15T13:44:24.570166Z,48
2018-07-15T23:32:22.909256Z,20
2018-07-15T23:42:29.707876Z,20
2018-07-15T23:52:36.480907Z,20
